 cibil_score, loan_amount, loan_status
355,19100000,0
652,3300000,1
665,15900000,1
420,6000000,0
471,32700000,0
715,7500000,1
689,15200000,1
787,16400000,1
819,7800000,1
809,21100000,1
744,17000000,1
484,11300000,0
673,10400000,1
695,21200000,1
473,12400000,0
491,11000000,0
733,1700000,1
434,15600000,0
777,20600000,1
774,19100000,1
717,27000000,1
503,3500000,0
598,10900000,1
543,32400000,1
796,6800000,1
386,34600000,0
632,7800000,1
481,23400000,1
770,3500000,0
667,15500000,1
585,17500000,1
479,11600000,0
851,22500000,1
378,16200000,0
807,12900000,1
831,32400000,1
674,5100000,1
725,28100000,1
600,29300000,1
536,27000000,0
477,20600000,0
560,5000000,1
539,16400000,0
852,9100000,1
853,8500000,1
729,30900000,1
546,4700000,0
489,2400000,0
869,35400000,1
502,20000000,0
652,38800000,1
789,1100000,1
325,8100000,1
716,19600000,1
523,34300000,0
352,22200000,0
345,14400000,1
649,19400000,1
666,7400000,1
813,20900000,1
599,16800000,1
678,9400000,1
513,12200000,0
870,27900000,1
483,20400000,0
308,16700000,0
591,4900000,1
886,23000000,1
829,4000000,1
651,4900000,1
733,4700000,1
433,15500000,0
713,3600000,1
403,22500000,0
405,7800000,0
516,19900000,0
417,1800000,0
468,14000000,0
672,11800000,1
530,13900000,0
824,11300000,1
549,25500000,0
450,9300000,0
431,19500000,0
312,10700000,0
320,7600000,0
433,20200000,0
431,1000000,0
516,28900000,0
476,12000000,0
560,2600000,1
674,27100000,1
573,38200000,1
331,6600000,0
633,6700000,1
877,12900000,1
656,23600000,1
782,18200000,1
531,29300000,1
455,4100000,0
452,19900000,0
474,33200000,0
483,24400000,1
481,16800000,0
859,5100000,1
696,14100000,1
778,28700000,1
499,14600000,1
888,4900000,1
674,10800000,1
802,13200000,1
540,7800000,0
726,19600000,1
485,23500000,1
612,17100000,1
879,24200000,1
708,16400000,1
850,5700000,1
516,11300000,0
465,28800000,0
716,3200000,1
404,600000,0
512,10600000,0
441,20600000,0
555,18400000,1
466,7000000,0
427,8600000,0
593,20000000,1
731,18300000,1
451,10100000,0
628,16900000,1
704,9400000,1
341,23500000,0
465,21000000,0
431,30100000,1
424,12600000,0
678,5100000,1
381,16800000,0
449,28000000,0
768,23500000,1
666,7000000,0
742,13300000,1
445,15800000,0
634,28700000,1
782,9700000,1
781,7000000,1
318,17200000,0
721,24100000,1
563,9800000,1
419,26300000,1
372,20800000,0
885,9500000,1
596,38400000,1
349,14100000,1
468,32200000,0
818,26900000,1
543,28000000,0
685,21900000,1
851,12500000,1
377,29800000,0
620,4000000,1
611,2300000,1
767,7700000,1
592,3200000,1
319,2300000,1
900,25500000,1
814,12800000,1
755,5000000,1
584,16800000,1
380,23500000,0
465,17600000,0
531,1800000,1
814,32100000,1
678,17900000,1
655,29000000,1
682,7400000,1
695,1300000,1
833,10800000,1
302,35300000,0
357,6600000,0
302,14500000,0
873,22400000,1
658,19800000,1
877,8700000,1
648,6300000,1
730,5200000,1
737,8200000,1
584,3200000,0
621,1700000,1
583,2700000,1
621,25900000,1
610,21500000,1
452,15700000,0
339,7300000,0
650,15200000,1
672,700000,1
501,1000000,0
809,5700000,1
318,29400000,0
649,3300000,1
367,28300000,0
847,11800000,1
360,18900000,0
865,7200000,1
880,18800000,1
608,8400000,1
760,2100000,1
385,4600000,0
478,23300000,0
327,7700000,0
663,9300000,1
693,3500000,1
710,5400000,1
711,14500000,1
386,18400000,0
855,11900000,1
573,15300000,1
431,2800000,0
364,14800000,0
711,3600000,1
771,900000,1
669,36400000,1
338,27500000,0
562,3500000,1
769,18700000,1
629,21500000,1
699,18100000,1
590,20800000,1
707,5700000,1
391,11400000,0
891,18500000,1
731,20600000,1
775,16700000,1
897,32400000,1
794,26700000,1
555,16700000,1
536,10300000,0
839,1700000,1
890,5100000,1
415,27900000,0
868,15700000,1
353,5800000,0
590,29000000,1
618,900000,1
539,1700000,0
429,27000000,1
792,4700000,1
608,12400000,1
555,21500000,1
620,17500000,1
635,20900000,1
457,12500000,0
350,21400000,0
885,2500000,1
638,14700000,1
710,10500000,1
470,20900000,0
874,17300000,1
411,1800000,0
482,1100000,1
396,16900000,0
436,900000,0
303,22100000,0
728,11400000,1
775,28600000,1
402,23500000,0
698,31500000,1
665,7800000,1
490,13500000,0
504,31900000,0
790,8600000,1
669,2700000,1
381,30700000,0
900,15000000,1
506,24900000,0
538,8800000,0
677,14400000,1
685,4900000,1
860,6200000,1
608,14800000,1
540,5300000,0
492,16800000,0
834,8500000,1
834,3500000,1
890,28800000,1
443,1100000,0
329,5700000,0
739,5400000,1
867,30300000,1
307,24800000,0
492,15500000,0
698,24700000,1
851,700000,1
375,12500000,0
601,14300000,1
756,7000000,1
868,19200000,1
838,7200000,1
375,15900000,0
778,12500000,1
442,11200000,0
808,39500000,1
372,9000000,0
597,19000000,1
435,29100000,0
728,9700000,1
373,25900000,0
367,18500000,0
552,19100000,1
465,10600000,0
607,10500000,1
427,1300000,0
711,21200000,1
823,24100000,1
523,20500000,0
328,27900000,0
721,28200000,1
599,17000000,1
580,5000000,1
744,4900000,1
559,23900000,1
587,13500000,1
817,31800000,1
655,1000000,1
382,23900000,0
765,4300000,1
516,10000000,0
383,15000000,0
633,14100000,1
547,15200000,0
843,26300000,1
783,13200000,1
790,3200000,1
409,14200000,0
376,7800000,0
625,2700000,1
707,10900000,1
645,20500000,1
887,22100000,1
319,37600000,0
647,4900000,1
888,22500000,1
420,10400000,0
791,18400000,1
891,16200000,1
641,700000,1
319,22800000,0
819,22200000,1
387,32300000,0
686,12300000,1
415,12000000,0
885,500000,0
722,25500000,1
761,20400000,1
389,15200000,0
600,27900000,1
407,6100000,1
829,14000000,1
895,5900000,1
441,11100000,0
895,9800000,1
826,4300000,1
453,7200000,0
701,17500000,1
627,2700000,1
543,11000000,1
411,17500000,0
583,5800000,1
889,7500000,1
684,8600000,1
578,20500000,1
445,10900000,0
369,26300000,0
794,22200000,1
492,19200000,0
557,13200000,1
519,31800000,0
699,5700000,1
741,24600000,1
508,3800000,0
647,2800000,1
656,28600000,1
439,10600000,0
350,4000000,0
493,2200000,0
851,1800000,1
492,12500000,0
861,5400000,1
664,14600000,1
362,1300000,0
703,9400000,1
758,16800000,1
396,9700000,0
828,10600000,1
709,10000000,1
528,17500000,0
623,16000000,1
599,24500000,1
622,12700000,1
385,13100000,0
579,12500000,1
846,17900000,1
449,23900000,0
666,24900000,1
380,17500000,0
589,8100000,1
845,19500000,1
401,17300000,0
766,14500000,1
522,15100000,0
834,6900000,1
588,25400000,1
570,10600000,1
860,17600000,1
655,19200000,1
457,27700000,1
863,2100000,1
742,18900000,1
798,13300000,1
552,18900000,1
418,12500000,0
419,22200000,0
668,29900000,1
608,29200000,1
342,13800000,0
817,18000000,1
476,29900000,0
881,20000000,1
838,15600000,1
406,27400000,1
778,19500000,1
799,7400000,1
716,17800000,1
756,20100000,1
743,20100000,1
731,19400000,1
833,8500000,1
470,11400000,0
734,21200000,1
620,9600000,1
812,14400000,1
459,14000000,0
704,32600000,1
391,4100000,0
421,29100000,1
796,6700000,1
607,30300000,1
376,20400000,0
424,8500000,0
442,20800000,0
448,17600000,0
638,2700000,1
710,5600000,1
641,4800000,1
348,20200000,0
519,19900000,0
517,35000000,0
375,22400000,0
426,3400000,0
785,11500000,1
373,8600000,0
476,20100000,0
320,5600000,0
657,22900000,1
868,1900000,1
345,13900000,0
472,300000,0
613,9500000,1
769,12800000,1
741,23100000,1
889,16600000,1
683,3600000,1
780,7400000,1
538,1100000,0
721,12600000,1
467,15200000,0
551,2500000,1
803,14800000,1
361,8400000,0
708,30700000,1
766,20900000,1
464,11500000,0
517,4300000,0
747,2300000,1
596,24700000,1
783,25400000,1
335,19400000,1
889,2700000,1
874,2200000,1
394,23900000,1
420,28500000,0
848,25100000,1
788,17900000,1
509,4900000,0
899,23900000,1
466,15800000,0
595,4300000,1
322,6700000,0
691,18900000,1
379,26700000,0
531,25800000,0
631,21800000,1
330,18600000,0
383,29200000,0
678,19700000,1
894,14700000,1
567,22700000,1
708,14000000,1
433,21200000,1
302,8700000,0
736,2600000,1
323,8500000,0
670,4100000,1
609,21000000,1
349,24200000,0
319,1500000,0
391,16200000,0
755,18700000,1
354,12200000,0
877,8800000,1
312,8600000,0
746,15900000,1
313,19600000,0
857,12900000,1
504,18300000,0
556,1200000,1
393,11000000,0
881,14400000,1
719,12200000,1
458,2500000,0
857,7500000,1
429,7600000,0
538,15900000,0
828,14400000,1
339,6100000,0
376,16600000,0
549,30000000,0
587,12700000,1
861,8400000,1
409,7000000,0
528,10200000,1
691,19600000,1
584,3600000,1
459,20000000,0
755,31700000,1
688,27700000,1
384,26000000,0
869,1600000,1
445,18700000,0
393,5500000,0
414,24600000,0
395,19900000,0
815,21000000,1
758,10500000,1
457,14500000,0
854,3200000,1
324,10300000,0
849,31500000,1
672,24200000,1
859,20900000,1
584,15400000,1
346,4800000,1
635,12800000,1
365,22700000,0
856,20000000,1
440,20000000,0
616,23300000,1
461,25700000,1
681,10800000,1
485,9400000,0
684,8300000,1
727,17900000,1
784,5100000,1
865,20400000,1
791,20100000,1
866,8500000,1
761,14400000,1
572,2100000,1
601,8600000,1
820,5500000,1
598,4300000,1
544,8700000,0
561,14500000,1
547,35500000,0
504,13400000,0
530,20800000,0
614,10600000,1
351,22400000,0
431,19700000,0
403,18400000,0
668,20200000,1
399,10400000,0
665,10600000,1
344,12800000,0
555,5400000,1
301,26900000,0
726,2100000,1
689,23100000,1
665,33900000,1
608,12700000,1
335,12800000,0
677,10500000,1
491,8500000,1
763,28100000,1
809,18100000,1
544,36400000,0
624,800000,1
388,16800000,0
644,23100000,1
600,18400000,1
709,14100000,1
642,5600000,1
423,10400000,1
900,5900000,1
415,19500000,0
645,14300000,1
742,15600000,1
724,19800000,1
707,5400000,1
780,2500000,1
538,21900000,0
706,17700000,1
811,14500000,1
849,9100000,1
880,16700000,1
664,9500000,1
465,5000000,1
786,12000000,1
326,2000000,0
399,10800000,0
841,11500000,1
638,6700000,1
478,8900000,0
600,30000000,1
768,15600000,1
523,6500000,0
327,20900000,0
799,1800000,1
803,23000000,1
524,15400000,0
506,6600000,0
351,18800000,0
648,4200000,1
612,18500000,1
396,12400000,0
458,800000,0
488,3400000,0
475,18900000,0
417,7000000,0
781,18700000,1
337,6200000,0
511,1800000,0
837,17300000,1
810,24600000,1
588,10600000,1
870,9200000,1
733,20700000,1
348,20300000,0
741,23000000,1
306,14500000,0
428,19500000,0
455,22100000,1
356,14700000,1
594,400000,1
844,25800000,1
771,34700000,1
622,12500000,1
480,4500000,0
337,11500000,0
698,11200000,1
302,17000000,0
349,7800000,0
482,3300000,0
429,8200000,0
471,1300000,0
895,32400000,1
757,20300000,1
777,13500000,1
761,8900000,1
821,4200000,1
662,26500000,1
350,16500000,0
321,10700000,0
368,10100000,0
455,24900000,0
744,24600000,1
806,16800000,1
456,27900000,0
719,13400000,1
668,9000000,1
494,5800000,0
841,10800000,1
721,21400000,1
414,9400000,0
812,15500000,1
832,17500000,1
571,14900000,1
459,37000000,0
592,24100000,1
527,13100000,0
333,10200000,0
532,10000000,0
754,13100000,1
835,4800000,0
592,5400000,1
553,27300000,1
806,2000000,1
378,28500000,1
534,26200000,1
400,5900000,0
543,18300000,0
715,25600000,1
684,20700000,1
346,6100000,0
669,29200000,1
566,8000000,1
361,23600000,0
333,8000000,0
335,16300000,0
558,20400000,1
436,15600000,0
371,5200000,0
515,18400000,0
599,24300000,1
728,24000000,1
679,21600000,1
399,29200000,1
819,4500000,1
308,11700000,0
730,15600000,1
312,5100000,0
740,12800000,1
522,20000000,0
702,16900000,1
447,4300000,0
829,2900000,1
727,18500000,1
509,18700000,0
745,34200000,1
513,6600000,0
372,18500000,0
411,700000,0
495,10800000,0
827,2500000,1
820,25100000,1
660,28100000,1
563,8600000,1
883,1400000,1
387,22000000,0
613,8700000,1
335,8000000,0
795,34500000,1
369,13900000,0
888,7400000,1
742,12300000,1
874,14400000,1
691,8100000,1
762,30300000,1
324,10700000,0
777,1800000,1
662,21400000,1
462,13000000,0
609,10400000,1
590,11700000,1
779,15800000,1
641,5000000,1
752,18400000,1
305,23700000,0
546,20700000,0
833,24200000,1
421,8800000,0
639,18800000,1
735,6900000,1
377,5400000,0
310,15600000,0
695,14000000,1
355,1200000,1
525,14100000,0
330,2400000,0
625,25800000,1
644,2900000,1
865,14900000,1
661,14800000,1
884,5000000,1
803,26700000,1
800,28300000,1
796,12600000,1
716,5000000,1
479,1100000,0
810,28300000,1
568,20900000,1
842,5600000,1
806,7000000,1
722,17700000,1
442,20700000,0
360,9800000,0
461,5900000,0
735,22200000,1
761,8400000,1
653,10600000,1
726,30800000,1
617,22600000,1
460,13400000,0
306,3300000,0
471,1400000,0
628,15300000,1
404,25600000,0
804,21600000,1
804,3900000,1
502,6700000,0
861,22600000,1
555,7800000,1
351,13600000,0
358,23600000,0
836,18800000,1
554,2900000,1
443,30500000,1
725,23600000,1
818,7000000,1
670,38700000,1
414,21100000,0
887,37000000,1
409,26600000,0
679,4500000,1
478,2600000,0
752,1200000,1
616,33000000,1
842,12500000,1
840,26300000,1
430,27700000,0
351,7000000,0
347,2300000,0
576,28800000,1
799,11000000,1
550,10800000,1
878,13300000,1
895,4800000,1
603,29700000,1
325,6900000,0
393,11800000,1
612,30300000,1
553,3800000,1
389,8800000,0
782,6800000,1
493,8500000,0
629,11900000,1
419,21600000,0
444,15800000,0
301,15800000,0
479,11200000,0
424,11400000,0
469,16900000,0
897,8300000,1
477,500000,0
509,1400000,0
752,1700000,1
875,19100000,1
343,3600000,0
819,20800000,1
433,16800000,1
768,400000,1
714,31800000,1
531,10100000,0
529,8600000,0
448,19500000,0
584,10000000,1
501,22900000,1
848,24500000,1
586,19100000,1
386,13000000,0
301,37900000,0
653,8300000,1
448,500000,0
696,11600000,1
707,28300000,1
429,21700000,0
631,21100000,1
446,29600000,1
705,18100000,1
709,15200000,1
739,19500000,1
336,11000000,0
898,32600000,1
558,2100000,1
589,13300000,1
301,14400000,0
516,21200000,0
315,3600000,0
546,14400000,0
559,14500000,1
350,16900000,1
583,18700000,1
874,9400000,1
808,11600000,1
487,4900000,0
870,7800000,1
840,3800000,1
682,19200000,1
668,28900000,1
781,10300000,1
375,19000000,0
857,14900000,1
823,32100000,1
686,5000000,1
721,6300000,1
545,9400000,0
523,8900000,0
607,24900000,1
428,14900000,0
666,20300000,1
704,10100000,1
794,23800000,1
430,23300000,0
615,500000,1
360,14100000,0
458,18300000,0
887,20400000,1
735,27400000,1
379,5600000,0
544,25500000,0
721,16700000,1
676,6000000,1
342,1200000,1
566,27000000,1
355,14000000,1
605,18500000,1
525,5200000,0
403,2500000,0
727,33500000,1
529,28900000,0
415,6100000,0
879,17300000,1
649,12600000,1
395,9800000,0
488,24100000,0
569,400000,1
817,24600000,1
706,17800000,1
553,31200000,1
464,1800000,0
729,20000000,1
363,7400000,0
565,17200000,1
421,21000000,0
512,34200000,0
730,12400000,1
627,2300000,1
434,10000000,0
410,14300000,0
624,3600000,1
656,16900000,1
758,27300000,1
336,23500000,0
378,21900000,0
620,4200000,1
593,9100000,1
710,34000000,1
753,20700000,1
454,27200000,0
619,19100000,1
367,28500000,0
384,3100000,0
610,5900000,1
802,19500000,1
858,25200000,1
599,14000000,1
395,27000000,0
380,16200000,0
803,27100000,1
809,8900000,1
722,6600000,1
392,35700000,0
545,14500000,0
799,28500000,1
727,21900000,1
530,19800000,0
637,19000000,1
561,21000000,1
421,12000000,0
459,30300000,0
828,26000000,1
679,27500000,1
455,25700000,0
879,9400000,1
636,26100000,1
426,5600000,0
508,21500000,0
768,19200000,1
667,6400000,1
440,28200000,1
366,16800000,0
383,600000,0
603,800000,1
728,14900000,1
549,20300000,0
855,10700000,1
461,5300000,0
379,16100000,0
559,13700000,1
816,600000,1
560,11400000,1
645,12000000,1
551,11500000,1
515,22900000,0
657,3600000,1
682,9300000,1
588,1600000,1
359,38000000,0
766,1200000,1
469,19900000,0
618,1400000,1
711,17700000,1
549,34000000,1
754,20400000,1
461,1500000,0
837,3800000,1
459,23900000,0
614,29700000,1
373,24000000,0
512,26500000,0
781,23400000,1
305,5800000,0
447,27800000,0
757,4600000,1
723,10400000,1
463,10900000,0
699,18700000,1
308,25200000,1
702,500000,1
456,37500000,1
651,5900000,1
840,14500000,1
848,7900000,1
727,19700000,1
335,11600000,0
304,800000,0
712,34400000,1
737,6600000,1
690,29300000,1
888,3200000,1
839,27200000,1
333,12400000,0
862,23700000,1
309,9100000,1
823,30700000,1
649,11700000,1
726,35700000,1
712,3100000,1
701,37300000,1
655,21300000,1
385,16600000,0
777,3800000,1
696,5300000,1
496,14100000,0
659,7900000,1
542,17700000,0
729,8700000,1
744,28400000,1
749,17000000,1
755,14800000,1
506,5300000,0
391,13000000,0
898,11600000,1
527,1500000,0
470,35800000,0
694,25000000,1
325,18800000,0
880,13400000,1
459,11900000,0
323,21400000,0
739,29000000,1
724,16300000,1
487,7400000,0
439,27700000,1
655,25400000,1
443,9200000,0
489,2600000,0
427,8600000,0
417,10500000,0
842,24800000,1
307,23200000,1
428,4500000,0
415,15200000,0
405,18200000,0
683,31500000,1
742,10600000,1
530,10000000,0
844,3500000,1
715,13900000,1
476,26300000,0
721,4800000,1
339,30300000,0
461,6800000,0
556,23200000,1
483,18700000,0
406,17200000,0
513,24800000,0
574,12600000,1
692,15700000,1
867,29800000,1
875,38500000,1
597,18600000,1
513,12000000,0
354,24200000,1
647,25900000,1
875,23700000,1
819,14300000,1
521,9600000,0
761,19900000,1
572,1900000,1
571,24100000,1
891,7800000,1
895,14800000,1
580,6600000,1
605,23400000,1
705,5100000,1
423,5000000,0
846,22500000,1
542,5000000,0
631,2400000,1
318,24500000,0
541,6800000,0
782,2900000,1
888,35000000,1
747,3600000,1
641,18900000,1
640,1700000,1
324,28100000,0
359,21200000,0
338,23300000,0
384,3200000,0
545,26600000,0
610,24200000,1
840,27900000,1
630,8100000,1
508,31200000,1
535,34900000,1
717,3400000,1
735,19300000,1
528,22000000,0
350,20000000,0
422,5700000,0
496,13700000,0
794,15500000,1
719,7700000,1
630,6100000,1
843,1800000,1
764,15600000,1
662,17700000,1
311,15500000,0
606,10100000,1
874,10200000,1
370,30000000,1
414,20500000,0
800,1100000,1
779,16900000,1
553,14100000,1
445,29900000,0
496,21400000,0
650,5900000,1
783,17900000,1
535,13500000,0
415,34000000,0
709,15300000,1
819,2500000,1
841,17300000,1
700,10700000,1
881,4200000,1
804,4600000,1
653,21700000,1
663,29200000,1
495,17500000,0
335,9800000,0
618,4900000,1
480,2400000,0
843,4900000,1
483,14100000,0
548,5100000,0
379,16000000,0
771,26600000,1
353,500000,0
668,11500000,1
387,21300000,1
789,4100000,1
855,900000,1
751,33600000,1
739,21600000,1
492,13100000,0
896,23800000,1
545,24500000,0
891,36800000,1
848,15100000,1
884,2400000,1
439,14300000,0
586,8500000,1
308,18800000,0
300,23500000,0
741,19600000,1
698,31400000,1
733,22300000,1
571,4200000,1
490,29900000,0
451,25400000,0
559,6800000,1
577,21400000,1
613,5000000,1
785,3800000,1
690,6000000,1
351,17100000,0
447,1000000,0
708,19200000,1
549,21700000,0
797,18800000,1
537,14300000,0
828,2500000,1
471,9600000,0
336,25400000,0
424,9800000,0
440,3300000,0
583,17300000,1
480,2900000,0
670,25800000,1
329,13700000,0
754,3000000,1
588,7800000,1
551,16500000,1
316,18900000,0
382,32200000,0
717,15000000,1
676,7300000,1
667,27800000,1
821,10500000,1
345,20100000,0
442,19200000,0
672,23300000,1
508,29300000,1
615,12300000,1
689,4400000,1
747,1200000,0
412,22800000,0
703,16900000,1
884,22200000,1
651,8600000,1
793,17300000,1
407,21800000,1
390,11100000,0
469,1000000,0
373,10400000,0
304,5800000,1
833,8300000,1
302,20900000,1
397,28700000,0
891,10000000,1
457,12200000,0
657,3200000,1
480,1400000,1
840,17300000,1
866,8000000,1
619,17000000,1
748,33500000,1
881,25500000,1
829,13900000,1
312,11100000,0
467,21400000,0
650,14300000,1
711,1100000,1
886,4100000,1
494,28400000,0
741,10900000,1
876,3300000,1
610,26400000,1
778,26000000,1
571,1800000,1
554,25100000,1
712,6200000,1
695,11500000,1
366,10900000,0
426,5500000,0
320,6900000,0
543,4600000,0
525,11000000,0
812,13100000,1
697,25300000,1
527,15100000,0
512,17200000,1
671,9200000,1
539,8700000,0
532,7200000,0
485,7700000,0
521,2100000,0
874,7400000,1
788,22900000,1
659,14800000,1
498,19600000,0
310,13200000,0
785,4700000,1
309,8700000,0
433,19600000,1
801,1300000,1
488,22400000,0
756,6000000,1
757,2800000,1
828,10100000,1
733,7200000,1
421,38200000,0
872,20300000,1
393,17400000,0
700,37800000,1
613,21600000,1
455,13400000,0
871,7100000,1
497,21500000,0
649,2700000,1
709,10000000,1
705,13500000,1
476,23600000,1
819,7100000,1
535,9400000,0
889,1200000,1
468,11800000,0
759,800000,1
426,33600000,1
712,23600000,1
615,4700000,1
784,14000000,1
677,6100000,1
306,7900000,0
655,25400000,1
755,19400000,1
598,25800000,1
712,9800000,1
524,4600000,0
838,23100000,1
560,2900000,1
759,26400000,1
454,2400000,0
539,16500000,1
827,27800000,1
686,11900000,1
371,34100000,0
784,1900000,1
826,7300000,1
502,10500000,0
367,7800000,0
541,18300000,0
608,13600000,1
570,13100000,1
752,800000,1
873,20500000,1
538,18600000,1
819,1000000,1
770,29800000,1
345,9600000,0
730,8100000,1
835,19300000,1
811,1700000,1
662,5900000,1
420,13300000,1
413,11700000,1
367,20000000,0
390,16400000,0
602,12200000,1
843,11500000,1
713,6800000,1
591,16200000,1
701,9400000,1
655,10000000,1
720,20000000,1
794,15100000,1
392,21300000,0
583,7100000,1
457,6800000,0
570,17800000,1
890,30100000,1
472,12300000,0
788,10900000,1
605,35300000,1
473,30500000,0
728,21500000,1
505,17800000,0
407,19300000,0
464,1700000,0
514,7200000,0
627,23000000,1
627,14900000,1
858,3200000,1
607,30200000,1
663,14300000,1
522,26900000,0
610,9100000,1
462,6600000,0
591,9300000,1
636,6500000,1
359,4900000,0
542,25000000,0
642,11800000,1
414,5500000,1
865,26200000,1
369,3100000,0
838,10800000,1
582,21200000,1
416,23200000,0
705,5500000,1
306,5700000,0
851,13000000,1
613,17200000,1
366,16300000,0
431,2800000,0
754,25900000,1
447,11200000,0
510,14100000,0
324,24200000,0
523,19200000,0
362,15600000,0
657,32900000,1
790,23300000,1
500,30500000,0
465,33200000,1
409,8700000,0
626,1800000,1
545,13400000,0
654,11400000,1
515,26500000,0
838,18800000,1
406,16000000,0
573,23200000,1
611,38700000,1
649,13400000,1
775,7700000,1
469,12500000,0
587,12800000,1
316,9900000,0
556,10400000,1
578,31200000,1
554,18900000,1
892,6800000,1
315,10200000,0
695,12900000,1
806,20300000,1
638,12800000,1
610,5000000,1
810,3200000,1
866,33200000,1
760,23800000,1
556,11200000,1
684,23500000,1
578,25800000,1
814,23900000,1
510,14800000,0
674,9000000,1
570,4900000,1
680,1700000,1
803,8800000,1
357,10700000,0
575,19000000,1
546,3600000,1
370,21400000,0
713,9400000,1
896,3800000,1
626,9200000,1
854,6400000,1
802,8400000,1
382,4400000,0
415,14900000,0
366,6300000,1
595,25400000,1
356,21300000,0
568,29900000,1
615,4000000,1
313,13900000,0
575,17900000,1
577,5500000,1
455,30700000,0
500,24900000,0
509,9400000,0
379,19400000,0
664,14500000,1
623,9900000,1
558,8700000,1
580,4300000,1
612,17600000,1
705,2400000,1
301,2700000,0
711,32000000,1
735,700000,1
682,5200000,1
348,13500000,0
750,23500000,1
835,18200000,1
389,20000000,0
866,18900000,1
689,26600000,1
645,17600000,1
797,10100000,1
849,17800000,1
423,19700000,0
370,11200000,0
378,31300000,0
417,1900000,0
530,4100000,0
543,9300000,0
750,15000000,1
346,7600000,0
330,19000000,0
712,7400000,1
376,10100000,0
338,1200000,0
600,13700000,1
495,6900000,0
300,30400000,1
691,20000000,1
519,24700000,0
540,15100000,0
562,11400000,1
323,21300000,0
312,19700000,0
511,600000,1
621,13800000,1
512,4300000,0
786,11000000,1
303,1600000,0
633,16700000,1
711,14000000,1
472,16900000,0
350,12100000,0
879,13700000,1
436,13400000,0
848,11500000,1
555,23200000,1
885,13100000,1
888,25200000,1
478,6100000,0
603,2500000,1
784,8200000,1
682,11700000,1
471,5900000,0
808,36700000,1
470,18500000,0
574,13800000,1
314,12000000,0
407,10200000,0
